Start:-1.0389997624e-002
Increment:4.9999998737e-005
Sequence,Volt,Volt,Volt
X,CH1,CH2,CH3
488,5.468e-001,-6.875e-002,5.937e000
489,4.687e-001,-2.500e-002,5.750e000
490,4.687e-001,-3.125e-002,5.937e000
491,5.468e-001,-9.375e-002,5.750e000
492,5.468e-001,-4.375e-002,5.750e000
493,4.531e-001,-1.062e-001,5.937e000
494,5.468e-001,-1.062e-001,5.937e000
495,4.531e-001,-5.000e-002,5.687e000
496,5.468e-001,-6.250e-002,5.937e000
497,4.531e-001,-1.125e-001,5.687e000
498,4.531e-001,-1.125e-001,5.687e000
499,5.312e-001,-4.375e-002,5.937e000
500,4.531e-001,-6.875e-002,5.875e000
501,5.312e-001,-2.500e-002,5.687e000
502,5.312e-001,-2.500e-002,5.687e000
503,4.375e-001,-7.500e-002,5.875e000
504,4.375e-001,-3.125e-002,5.687e000
505,5.312e-001,-8.125e-002,5.875e000
506,5.156e-001,-4.375e-002,5.687e000
507,4.375e-001,-1.062e-001,5.875e000
508,4.375e-001,-5.625e-002,5.875e000
509,5.156e-001,-1.250e-001,5.625e000
510,5.156e-001,-6.250e-002,5.812e000
511,4.218e-001,-1.125e-001,5.625e000
512,4.218e-001,-5.625e-002,5.812e000
513,5.156e-001,-1.187e-001,5.625e000
514,5.000e-001,-1.000e-001,5.812e000
515,4.218e-001,-3.125e-002,5.625e000
516,5.000e-001,-1.875e-002,5.625e000
517,4.062e-001,-6.250e-002,5.812e000
518,4.843e-001,-3.125e-002,5.625e000
519,4.062e-001,-6.875e-002,5.812e000
520,4.843e-001,-3.750e-002,5.750e000
521,4.062e-001,-7.500e-002,5.625e000
522,4.062e-001,-4.375e-002,5.750e000
523,4.843e-001,-8.125e-002,5.562e000
524,4.843e-001,-5.000e-002,5.750e000
525,3.906e-001,-1.062e-001,5.562e000
526,4.687e-001,-8.750e-002,5.562e000
527,3.906e-001,-1.875e-002,5.750e000
528,3.906e-001,-6.250e-003,5.562e000
529,4.687e-001,-5.625e-002,5.750e000
530,4.687e-001,-6.250e-003,5.562e000
531,3.750e-001,-6.875e-002,5.750e000
532,4.687e-001,-1.875e-002,5.687e000
533,3.750e-001,-1.000e-001,5.500e000
534,4.531e-001,-3.125e-002,5.687e000
535,3.750e-001,-1.062e-001,5.500e000
536,4.531e-001,-3.750e-002,5.687e000
537,3.750e-001,-1.187e-001,5.500e000
538,4.531e-001,-1.125e-001,5.687e000
539,3.593e-001,-3.750e-002,5.500e000
540,4.531e-001,-3.750e-002,5.500e000
541,3.593e-001,-1.625e-001,5.687e000
542,4.375e-001,-1.250e-001,5.500e000
543,3.593e-001,-1.250e-002,5.687e000
544,4.375e-001,0.000e000,5.500e000
545,3.437e-001,-5.625e-002,5.687e000
546,4.375e-001,-1.250e-002,5.625e000
547,3.437e-001,-6.875e-002,5.437e000
548,4.218e-001,-6.250e-003,5.625e000
549,3.437e-001,-7.500e-002,5.437e000
550,3.437e-001,-1.875e-002,5.625e000
551,4.218e-001,-8.125e-002,5.437e000
552,4.218e-001,-2.500e-002,5.437e000
553,3.281e-001,-1.062e-001,5.625e000
554,4.062e-001,-6.875e-002,5.437e000
555,3.281e-001,0.000e000,5.625e000
556,4.062e-001,6.250e-003,5.437e000
557,3.281e-001,-5.625e-002,5.625e000
558,4.062e-001,0.000e000,5.437e000
559,3.125e-001,-6.250e-002,5.562e000
560,4.062e-001,-1.250e-002,5.562e000
561,3.125e-001,-8.750e-002,5.375e000
562,4.062e-001,-3.125e-002,5.562e000
563,2.968e-001,-1.000e-001,5.375e000
564,3.906e-001,-3.125e-002,5.375e000
565,2.968e-001,-1.062e-001,5.562e000
566,3.906e-001,-1.000e-001,5.375e000
567,2.968e-001,-2.500e-002,5.562e000
568,3.750e-001,-3.125e-002,5.375e000
569,2.968e-001,-9.375e-002,5.562e000
570,3.750e-001,-6.875e-002,5.500e000
571,2.812e-001,1.250e-002,5.375e000
572,3.750e-001,-4.375e-002,5.375e000
573,2.812e-001,1.250e-002,5.500e000
574,2.812e-001,-5.000e-002,5.500e000
575,3.750e-001,0.000e000,5.312e000
576,3.593e-001,-6.250e-003,5.500e000
577,2.656e-001,-6.250e-002,5.312e000
578,3.437e-001,-6.250e-002,5.312e000
579,2.656e-001,-6.250e-003,5.500e000
580,3.437e-001,-6.250e-002,5.312e000
581,2.500e-001,6.250e-003,5.500e000
582,3.437e-001,1.250e-002,5.437e000
583,2.500e-001,-3.750e-002,5.312e000
584,2.500e-001,0.000e000,5.437e000
585,3.281e-001,-5.000e-002,5.250e000
586,2.343e-001,0.000e000,5.437e000
587,3.281e-001,-6.875e-002,5.250e000
588,3.125e-001,-1.250e-002,5.437e000
589,2.187e-001,-8.125e-002,5.250e000
590,2.968e-001,-3.125e-002,5.437e000
591,2.031e-001,-9.375e-002,5.250e000
592,2.812e-001,-8.750e-002,5.250e000
593,1.875e-001,-3.750e-002,5.437e000
594,2.500e-001,-2.500e-002,5.250e000
595,1.718e-001,-1.000e-001,5.437e000
596,2.343e-001,-8.750e-002,5.250e000
597,1.406e-001,6.250e-003,5.437e000
598,2.187e-001,1.250e-002,5.437e000
599,1.093e-001,-2.500e-002,5.187e000
600,1.875e-001,-3.125e-002,5.375e000
601,7.812e-002,6.250e-003,5.187e000
602,1.562e-001,0.000e000,5.375e000
603,4.687e-002,-3.750e-002,5.187e000
604,1.093e-001,-1.250e-002,5.187e000
605,1.562e-002,-4.375e-002,5.375e000
606,7.812e-002,-5.625e-002,5.187e000
607,-3.125e-002,-6.250e-003,5.375e000
608,4.687e-002,-2.500e-002,5.187e000
609,-7.812e-002,1.250e-002,5.375e000
610,0.000e000,6.250e-003,5.187e000
611,-1.093e-001,-3.125e-002,5.312e000
612,-3.125e-002,0.000e000,5.312e000
613,-1.562e-001,-5.000e-002,5.125e000
614,-7.812e-002,-6.250e-003,5.312e000
615,-1.875e-001,-8.125e-002,5.125e000
